"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BERGEPAINT","EQ","29-Dec-2023","596.10","599.80","607.00","594.05","604.55","604.65","601.73","18,20,196","1,09,52,70,810.25","39,144","5,89,832","32.40"
"BERGEPAINT","EQ","01-Jan-2024","604.65","607.50","609.00","600.05","602.15","603.85","606.42","6,31,961","38,32,36,569.15","20,671","3,02,133","47.81"
"BERGEPAINT","EQ","02-Jan-2024","603.85","603.00","605.50","592.75","601.90","604.35","599.70","6,13,442","36,78,81,409.75","23,870","2,41,862","39.43"
"BERGEPAINT","EQ","03-Jan-2024","604.35","606.95","606.95","595.15","598.00","598.15","601.77","3,34,537","20,13,14,483.65","15,662","1,32,862","39.72"
"BERGEPAINT","EQ","04-Jan-2024","598.15","598.45","601.30","591.60","598.45","598.45","596.06","6,39,813","38,13,64,482.20","21,280","2,90,324","45.38"
"BERGEPAINT","EQ","05-Jan-2024","598.45","599.15","603.90","593.15","596.20","596.35","599.16","4,65,157","27,87,02,194.15","15,572","1,68,718","36.27"
"BERGEPAINT","EQ","08-Jan-2024","596.35","595.00","596.90","578.05","579.75","578.85","585.52","5,81,798","34,06,54,389.80","22,225","2,75,297","47.32"
"BERGEPAINT","EQ","09-Jan-2024","578.85","583.25","590.00","581.25","586.00","587.90","586.48","6,55,120","38,42,12,090.65","14,493","3,55,170","54.21"
"BERGEPAINT","EQ","10-Jan-2024","587.90","587.95","594.05","582.65","591.90","592.65","590.31","9,35,943","55,24,92,859.10","20,725","5,17,978","55.34"
"BERGEPAINT","EQ","11-Jan-2024","592.65","595.80","596.00","589.00","593.00","593.65","592.49","3,55,149","21,04,23,896.00","14,213","1,94,146","54.67"
"BERGEPAINT","EQ","12-Jan-2024","593.65","593.85","596.80","587.50","596.50","595.80","593.90","5,37,422","31,91,73,082.00","20,993","3,03,557","56.48"
"BERGEPAINT","EQ","15-Jan-2024","595.80","598.35","605.80","596.25","603.75","602.75","601.38","7,00,739","42,14,11,417.95","22,560","2,80,389","40.01"
"BERGEPAINT","EQ","16-Jan-2024","602.75","602.75","607.00","598.70","603.15","604.45","603.10","8,97,327","54,11,77,673.45","24,267","5,99,923","66.86"
"BERGEPAINT","EQ","17-Jan-2024","604.45","599.00","604.85","591.45","596.45","595.15","601.02","11,34,435","68,18,13,393.45","29,482","6,76,196","59.61"
"BERGEPAINT","EQ","18-Jan-2024","595.15","592.80","594.00","567.00","576.55","576.35","575.36","14,33,666","82,48,79,160.65","39,856","5,37,682","37.50"
"BERGEPAINT","EQ","19-Jan-2024","576.35","581.55","585.15","576.75","579.65","579.35","581.48","9,78,376","56,89,02,605.35","26,165","5,66,938","57.95"
"BERGEPAINT","EQ","20-Jan-2024","579.35","582.00","584.20","574.00","574.50","575.40","578.33","1,84,216","10,65,38,293.40","11,235","77,852","42.26"
"BERGEPAINT","EQ","23-Jan-2024","575.40","575.00","575.00","542.55","548.00","547.00","553.45","18,57,284","1,02,79,20,829.25","48,345","9,59,693","51.67"
"BERGEPAINT","EQ","24-Jan-2024","547.00","549.90","563.90","542.85","563.00","562.55","553.56","10,93,896","60,55,36,353.50","31,308","5,74,580","52.53"
"BERGEPAINT","EQ","25-Jan-2024","562.55","563.00","563.00","552.00","554.80","554.70","558.14","10,99,198","61,35,05,027.95","25,778","4,72,467","42.98"
"BERGEPAINT","EQ","29-Jan-2024","554.70","552.00","563.90","551.10","562.70","559.85","557.21","5,95,840","33,20,08,478.65","16,071","3,45,122","57.92"
"BERGEPAINT","EQ","30-Jan-2024","559.85","563.20","566.70","558.30","559.75","561.80","563.52","5,92,044","33,36,29,161.50","13,139","3,47,779","58.74"
"BERGEPAINT","EQ","31-Jan-2024","561.80","562.10","567.10","558.00","564.80","565.15","563.29","5,54,075","31,21,03,820.05","17,454","2,79,863","50.51"
"BERGEPAINT","EQ","01-Feb-2024","565.15","565.55","567.45","562.00","564.00","565.50","564.77","6,40,925","36,19,76,474.40","21,178","3,81,833","59.58"
"BERGEPAINT","EQ","02-Feb-2024","565.50","568.30","571.00","561.45","570.65","569.55","567.13","9,96,264","56,50,13,887.35","19,344","5,71,858","57.40"
"BERGEPAINT","EQ","05-Feb-2024","569.55","574.00","574.90","564.60","565.50","567.10","570.65","7,32,928","41,82,42,012.90","22,617","3,33,087","45.45"
"BERGEPAINT","EQ","06-Feb-2024","567.10","567.10","567.10","553.85","555.60","555.80","557.50","10,71,673","59,74,56,094.15","24,543","7,05,642","65.84"
"BERGEPAINT","EQ","07-Feb-2024","555.80","569.00","578.25","552.00","555.00","555.80","560.88","44,49,337","2,49,55,62,824.10","75,841","16,77,545","37.70"
"BERGEPAINT","EQ","08-Feb-2024","555.80","555.80","559.50","546.70","549.00","549.00","554.38","10,33,571","57,29,91,355.65","27,578","4,76,468","46.10"
"BERGEPAINT","EQ","09-Feb-2024","549.00","551.85","556.75","543.45","551.70","554.00","549.98","10,75,063","59,12,62,040.15","32,892","4,90,241","45.60"
"BERGEPAINT","EQ","12-Feb-2024","554.00","553.95","555.30","545.45","550.35","551.00","550.36","8,13,053","44,74,75,841.90","17,883","3,81,639","46.94"
"BERGEPAINT","EQ","13-Feb-2024","551.00","551.80","559.90","546.55","558.60","558.50","555.08","5,96,957","33,13,61,023.10","21,122","1,76,859","29.63"
"BERGEPAINT","EQ","14-Feb-2024","558.50","556.55","561.65","546.65","560.90","560.85","556.23","8,50,727","47,32,00,478.55","24,461","3,27,589","38.51"
"BERGEPAINT","EQ","15-Feb-2024","560.85","562.90","562.90","552.00","552.95","553.40","555.35","4,88,382","27,12,24,148.15","16,603","1,90,676","39.04"
"BERGEPAINT","EQ","16-Feb-2024","553.40","554.00","564.35","554.00","563.20","562.90","559.63","7,25,200","40,58,40,064.05","20,784","3,68,651","50.83"
"BERGEPAINT","EQ","19-Feb-2024","562.90","564.50","564.50","555.35","557.40","556.90","558.86","3,27,372","18,29,55,724.85","16,105","1,24,954","38.17"
"BERGEPAINT","EQ","20-Feb-2024","556.90","559.00","565.00","553.10","565.00","563.35","560.25","7,20,241","40,35,12,345.45","25,349","4,06,365","56.42"
"BERGEPAINT","EQ","21-Feb-2024","563.35","565.00","575.85","561.50","573.60","572.25","567.92","10,97,088","62,30,57,495.00","23,839","5,95,680","54.30"
"BERGEPAINT","EQ","22-Feb-2024","572.25","573.00","573.50","559.05","570.15","571.65","567.59","10,75,229","61,02,84,905.25","28,043","3,98,562","37.07"
"BERGEPAINT","EQ","23-Feb-2024","571.65","571.95","572.85","562.05","572.00","571.90","568.56","8,77,319","49,88,05,781.00","25,997","5,14,835","58.68"
"BERGEPAINT","EQ","26-Feb-2024","571.90","562.00","570.95","555.00","564.90","566.45","564.06","11,11,006","62,66,76,378.50","29,170","3,44,201","30.98"
"BERGEPAINT","EQ","27-Feb-2024","566.45","563.05","568.70","556.25","567.95","562.90","561.65","10,46,795","58,79,29,863.20","28,759","5,15,031","49.20"
"BERGEPAINT","EQ","28-Feb-2024","562.90","562.00","567.50","555.10","557.90","564.20","560.64","10,83,775","60,76,11,417.30","22,527","3,46,125","31.94"
"BERGEPAINT","EQ","29-Feb-2024","564.20","558.05","620.60","556.00","620.60","606.70","592.47","80,44,840","4,76,63,38,637.85","1,28,917","27,33,767","33.98"
"BERGEPAINT","EQ","01-Mar-2024","606.70","589.30","595.15","579.00","591.50","589.15","586.87","51,48,516","3,02,14,87,320.60","88,376","7,93,180","15.41"
"BERGEPAINT","EQ","02-Mar-2024","589.15","588.85","603.80","585.05","595.50","593.15","593.80","1,87,004","11,10,43,022.80","5,588","62,721","33.54"
"BERGEPAINT","EQ","04-Mar-2024","593.15","594.65","594.65","574.35","576.00","578.90","580.61","11,21,932","65,14,07,935.75","30,502","3,43,119","30.58"
"BERGEPAINT","EQ","05-Mar-2024","578.90","575.50","581.75","570.00","574.10","576.30","575.40","7,18,291","41,33,04,869.35","24,519","2,13,935","29.78"
"BERGEPAINT","EQ","06-Mar-2024","576.30","575.10","585.00","567.15","580.00","577.80","573.61","6,88,953","39,51,87,975.40","22,673","2,19,605","31.88"
